Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2236.786	-2892.879	656.0927	1.319259	2.219387	0.7356999	2.270143
12282	-2243.325	-2900.025	656.6998	1.37124	2.682522	0.6582532	1.743208
6	-2238.766	-2894.264	655.4972	1.224104	2.204084	0.8958016	2.592751
12288	-2264.026	-2920.994	656.9684	1.35321	2.275539	0.6193211	1.746966
12	-2221.901	-2878.096	656.1955	1.149218	1.87947	0.6689719	2.491581
12294	-2245.663	-2902.281	656.6178	1.255725	2.162868	0.7914081	1.942948
18	-2243.047	-2899.375	656.3276	1.118174	1.703085	0.6778018	2.491581
12300	-2233.878	-2889.688	655.81	1.163035	2.162868	0.9481416	2.414793
12306	-2241.393	-2897.69	656.2975	1.137042	2.11504	0.7527886	2.278826
24	-2236.432	-2892.91	656.478	1.260742	1.667619	0.8061007	2.218885
12312	-2243.792	-2899.918	656.1261	1.194795	1.728863	0.6340269	2.595877
30	-2243.971	-2901.082	657.1107	1.354601	1.906685	0.6842516	1.73051
12318	-2250.233	-2906.536	656.3029	1.166854	1.939507	0.6304184	2.423386
36	-2252.725	-2909.155	656.4303	1.292029	2.031109	0.8556597	2.043997
12324	-2242.35	-2898.943	656.5931	1.318104	2.455356	0.5389578	2.044544
42	-2256.238	-2912.842	656.6044	1.292331	1.687385	0.7730857	2.133236
12330	-2243.935	-2900.859	656.924	1.363829	2.339089	0.5842296	1.78281
48	-2259.241	-2915.359	656.118	1.293334	2.503973	0.7894669	2.133236
12336	-2246.064	-2903.284	657.2201	1.387751	1.528245	0.8124964	1.694553
54	-2249.023	-2904.951	655.9278	1.333667	1.772941	1.100407	2.283926
12342	-2240.472	-2897.058	656.5861	1.440634	2.307363	0.843949	1.742513
60	-2248	-2904.34	656.3394	1.318212	1.770768	0.8057503	2.227528
12348	-2248.49	-2905.613	657.1231	1.412373	2.043356	0.6678493	1.638563
12354	-2241.626	-2898.27	656.644	1.301178	2.548339	0.6600055	1.87259
66	-2245.256	-2902.129	656.8735	1.283875	1.590428	0.8185806	1.969219
12360	-2252.043	-2908.363	656.3206	1.272874	2.203969	0.6072997	2.269678
